Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
登录,3690,7483,7491,13058,13782,14512,238,15425,0.000%,11.86201,4.82,5.26
根据时间筛选获取任务列表,3512,929,837,1532,1667,2017,19,12109,1.651%,11.85305,908.59,6.40
退出登录,3485,661,641,1207,1309,1524,19,1688,1.923%,12.43692,2.70,4.74
调试取样器,3485,0,0,0,0,1,0,1,0.000%,12.43803,11.96,0.00
总体,14172,2341,724,9188,11867,13956,0,15425,0.882%,45.55302,883.35,15.62
