Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
登录,3690,7483,238,15425,4046.03,0.000%,11.86201,4.82,5.26,416.0
根据时间筛选获取任务列表,3512,929,19,12109,1093.18,1.651%,11.85305,908.59,6.40,78494.1
退出登录,3485,661,19,1688,388.94,1.923%,12.43692,2.70,4.74,222.5
调试取样器,3485,0,0,1,0.20,0.000%,12.43803,11.96,0.00,984.9
总体,14172,2341,0,15425,3743.85,0.882%,45.55302,883.35,15.62,19857.1
