Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
登录,464,610,419,1338,116.93,0.000%,1.28317,0.58,0.53,460.1
根据时间筛选获取任务列表,364,131,46,553,74.38,0.000%,1.21940,0.30,0.66,249.0
退出登录,364,81,34,348,61.44,0.000%,1.21938,0.26,0.46,222.0
总体,1192,302,34,1338,262.48,0.000%,3.29641,1.04,1.46,322.9
