Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
登录,10588,477,439,537,588,833,306,29792,0.038%,1.45992,0.66,0.66
根据时间筛选获取任务列表,10488,129,102,181,220,358,21,31126,0.038%,1.45683,0.35,0.79
退出登录,10488,78,55,118,152,280,20,22706,0.038%,1.45683,0.32,0.55
总体,31564,229,113,474,515,663,20,31126,0.038%,4.35219,1.32,1.98
