Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
登录,10588,477,306,29792,550.15,0.038%,1.45992,0.66,0.66,460.9
根据时间筛选获取任务列表,10488,129,21,31126,478.88,0.038%,1.45683,0.35,0.79,249.0
退出登录,10488,78,20,22706,297.01,0.038%,1.45683,0.32,0.55,222.0
总体,31564,229,20,31126,488.50,0.038%,4.35219,1.32,1.98,311.1
