Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
登录,10,290,275,315,315,417,241,417,0.000%,.16376,0.06,0.05
创建扫描任务,10,5768,4507,12974,12974,14619,269,14619,0.000%,.14962,0.03,0.00
开始扫描任务,10,186,168,247,247,247,136,247,0.000%,.16108,0.03,0.07
扫描任务事务,10,5954,4687,13123,13123,14808,516,14808,0.000%,.14875,0.06,0.06
退出登录,10,93,91,102,102,108,84,108,0.000%,.16123,0.03,0.06
调试取样器,10,0,0,0,0,1,0,1,0.000%,.16144,0.16,0.00
总体,60,2048,242,6176,12974,14619,0,14808,0.000%,.88671,0.35,0.23
