Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
登录,10,477,530,590,590,619,293,619,0.000%,.65742,0.27,0.19
创建扫描任务,10,431,217,889,889,1055,67,1055,0.000%,.67558,0.15,0.00
开始扫描任务,10,221,203,307,307,348,153,348,0.000%,.68771,0.15,0.30
扫描任务事务,10,653,415,1075,1075,1223,335,1223,0.000%,.65699,0.30,0.28
退出登录,10,35,37,40,40,52,21,52,0.000%,.69857,0.15,0.27
调试取样器,10,0,0,0,0,1,0,1,0.000%,.70053,0.71,0.00
总体,60,303,213,696,941,1075,0,1223,0.000%,3.76530,1.59,0.96
