Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
登录,10,343,313,389,30.36,0.000%,.35840,0.15,0.10,415.0
创建扫描任务,10,1889,160,4403,1640.72,0.000%,.35467,0.08,0.00,229.1
开始扫描任务,10,157,127,202,21.48,0.000%,.39222,0.09,0.17,229.1
扫描任务事务,10,2047,316,4570,1642.86,0.000%,.35030,0.16,0.15,458.2
退出登录,10,93,63,134,25.54,0.000%,.39345,0.09,0.15,222.0
调试取样器,10,0,0,1,0.30,0.000%,.39459,0.40,0.00,1041.5
总体,60,755,0,4570,1283.44,0.000%,2.06271,0.87,0.52,432.5
