Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
登录,10,99,94,112,5.23,0.000%,1.26454,0.51,0.37,415.0
创建扫描任务,10,227,45,483,166.47,0.000%,1.26662,0.29,0.00,231.0
开始扫描任务,10,57,54,63,3.44,0.000%,1.30276,0.29,0.57,231.0
扫描任务事务,10,285,105,546,166.12,0.000%,1.22489,0.55,0.53,462.0
退出登录,10,34,27,40,4.00,0.000%,1.30719,0.28,0.50,222.0
调试取样器,10,0,0,0,0.00,0.000%,1.31389,1.34,0.00,1043.5
总体,60,117,0,546,141.51,0.000%,7.13352,3.02,1.83,434.1
