Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
登录,10,99,97,106,106,112,94,112,0.000%,1.26454,0.51,0.37
创建扫描任务,10,227,146,467,467,483,45,483,0.000%,1.26662,0.29,0.00
开始扫描任务,10,57,56,63,63,63,54,63,0.000%,1.30276,0.29,0.57
扫描任务事务,10,285,200,523,523,546,105,546,0.000%,1.22489,0.55,0.53
退出登录,10,34,33,39,39,40,27,40,0.000%,1.30719,0.28,0.50
调试取样器,10,0,0,0,0,0,0,0,0.000%,1.31389,1.34,0.00
总体,60,117,60,343,478,523,0,546,0.000%,7.13352,3.02,1.83
