Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
登录,10,343,328,387,387,389,313,389,0.000%,.35840,0.15,0.10
创建扫描任务,10,1889,900,4322,4322,4403,160,4403,0.000%,.35467,0.08,0.00
开始扫描任务,10,157,160,170,170,202,127,202,0.000%,.39222,0.09,0.17
扫描任务事务,10,2047,1063,4480,4480,4570,316,4570,0.000%,.35030,0.16,0.15
退出登录,10,93,77,131,131,134,63,134,0.000%,.39345,0.09,0.15
调试取样器,10,0,0,0,0,1,0,1,0.000%,.39459,0.40,0.00
总体,60,755,170,2994,4322,4480,0,4570,0.000%,2.06271,0.87,0.52
