Elapsed time,192.168.5.50 CPU,192.168.5.50 Memory
43:03.0,90.769,36.306
43:04.0,86.926,36.538
43:05.0,90.152,36.686
43:06.0,86.734,36.779
43:07.0,86.03,37.011
43:08.0,92.19,37.183
43:09.0,89.212,37.235
43:10.0,87.734,37.32
43:11.0,90.831,37.634
43:12.0,97.639,37.725
43:13.0,98.991,37.864
43:14.0,96.828,37.9
43:15.0,97.989,38.206
43:16.0,94.957,38.438
43:17.0,99.001,38.451
43:18.0,98.989,38.475
43:19.0,97.658,35.772
43:20.0,98.163,35.784
43:21.0,97.643,35.976
43:22.0,97.315,36.486
43:23.0,98.829,36.609
43:24.0,98.157,36.974
43:25.0,99.334,37.067
43:26.0,98.333,37.186
43:27.0,99.163,37.394
43:28.0,96.833,37.642
43:29.0,98.494,37.828
43:30.0,99.333,37.874
43:31.0,98.16,37.749
43:32.0,98.821,37.768
43:33.0,98.5,37.819
43:34.0,99.331,38.181
43:35.0,97.662,38.084
43:36.0,92.58,38.046
43:37.0,91.525,38.048
43:38.0,88.255,38.207
43:39.0,93.254,38.377
43:40.0,89.562,38.417
43:41.0,95.302,39.286
43:42.0,91.107,39.257
43:43.0,94.639,39.621
43:44.0,95.637,41.193
43:45.0,88.701,36.234
43:46.0,98.833,36.055
43:48.0,91.75,36.011
43:49.0,87.755,36.315
43:50.0,87.03,36.447
43:51.0,87.478,36.775
43:52.0,92.773,37.08
43:53.0,95.805,37.153
43:54.0,93.918,37.14
43:55.0,84.853,37.287
43:56.0,81.958,37.375
43:57.0,89.527,37.674
43:58.0,95.126,37.761
43:59.0,83.134,37.92
44:00.0,79.251,37.997
44:01.0,78.559,38.041
44:02.0,90.524,38.148
44:03.0,93.739,38.033
44:04.0,88.455,38.267
44:05.0,85.714,38.295
44:06.0,78.777,38.329
44:07.0,91.568,38.333
44:08.0,90.067,38.504
44:09.0,91.878,38.894
44:10.0,88.395,38.761
44:11.0,85.374,38.833
44:12.0,89.285,38.901
44:13.0,92.074,38.921
44:14.0,87.837,39.161
44:15.0,69.763,39.172
44:16.0,71.235,39.451
44:17.0,89.847,39.82
44:18.0,79.568,40.741
44:19.0,59.898,40.844
44:20.0,44.821,36.319
44:21.0,49.748,36.885
44:22.0,66.265,37.967
44:23.0,77.079,37.438
44:24.0,65.996,37.307
44:25.0,80.415,35.959
44:26.0,77.928,36.423
44:27.0,91.496,36.687
44:28.0,86.643,36.862
44:29.0,75.979,37.18
