Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
登录,3636,7242,247,14805,3941.04,0.000%,12.15151,4.94,5.38,416.0
根据时间筛选获取任务列表,3632,782,22,1842,457.47,0.083%,12.68258,987.63,6.85,79742.3
退出登录,3434,622,24,1497,358.07,0.466%,12.77169,2.77,4.86,222.1
调试取样器,3434,0,0,2,0.20,0.000%,12.77306,12.29,0.00,985.7
总体,14136,2215,0,14805,3594.06,0.134%,47.04097,959.60,16.24,20888.8
