Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
登录,3636,7242,7238,12640,13429,14286,247,14805,0.00%,12.15151,4.94,5.38
根据时间筛选获取任务列表,3632,782,763,1406,1565,1739,22,1842,0.08%,12.68258,987.63,6.85
退出登录,3434,622,616,1105,1193,1365,24,1497,0.47%,12.77169,2.77,4.86
调试取样器,3434,0,0,0,0,1,0,2,0.00%,12.77306,12.29,0
总体,14136,2215,682,8723,11364,13634,0,14805,0.13%,47.04097,959.6,16.24
