Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
登录,29550,5288,284,21028,2798.25,0.010%,8.19493,3.33,3.70,416.2
根据时间筛选获取任务列表,29443,411,66,7036,329.83,0.010%,8.19049,544.74,4.42,68105.1
获取某个扫描任务报告详情,29400,2592,13,115732,1769.69,0.010%,8.20666,12448.46,3.36,1553277.3
退出登录,29400,557,29,1226,295.47,0.010%,8.21901,1.78,3.13,222.0
调试取样器,29400,0,0,32,0.40,0.000%,8.21911,8.30,0.00,1033.5
总体,147193,1773,0,115732,2479.09,0.008%,40.81899,12923.58,14.55,324205.5
