Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
登录,29550,5288,5294,9094,9596,10303,284,21028,0.01%,8.19493,3.33,3.7
根据时间筛选获取任务列表,29443,411,382,701,782,921,66,7036,0.01%,8.19049,544.74,4.42
获取某个扫描任务报告详情,29400,2592,2517,4793,5345,6390,13,115732,0.01%,8.20666,12448.46,3.36
退出登录,29400,557,570,949,1000,1080,29,1226,0.01%,8.21901,1.78,3.13
调试取样器,29400,0,0,0,0,1,0,32,0.00%,8.21911,8.3,0
总体,147193,1773,607,5660,7689,9600,0,115732,0.01%,40.81899,12923.58,14.55
