Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
登录,3500,9351,277,20769,5140.33,0.000%,11.70733,4.76,5.16,416.0
根据时间筛选获取任务列表,3500,864,16,2071,522.70,19.600%,12.32885,773.14,6.66,64214.6
退出登录,3252,759,19,1870,451.19,19.588%,11.52097,2.56,4.39,227.5
调试取样器,3250,0,0,1,0.21,0.000%,12.35976,11.78,0.00,975.6
总体,13502,2831,0,20769,4685.74,9.799%,44.89622,747.24,15.53,17043.2
