Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
登录,3500,9351,9300,16442,17384,18723,277,20769,0.000%,11.70733,4.76,5.16
根据时间筛选获取任务列表,3500,864,838,1578,1703,1908,16,2071,19.600%,12.32885,773.14,6.66
退出登录,3252,759,733,1380,1493,1683,19,1870,19.588%,11.52097,2.56,4.39
调试取样器,3250,0,0,0,0,1,0,1,0.000%,12.35976,11.78,0.00
总体,13502,2831,796,11308,14758,17614,0,20769,9.799%,44.89622,747.24,15.53
