Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
登录,10,112,102,139,139,140,96,140,0.00%,0.77172,0.31,0.22
创建扫描任务,10,713,329,1461,1461,1829,82,1829,0.00%,0.76781,0.17,0
开始扫描任务,10,82,78,120,120,122,53,122,0.00%,0.85933,0.19,0.37
扫描任务事务,10,796,396,1583,1583,1914,147,1914,0.00%,0.75098,0.34,0.33
退出登录,10,23,22,30,30,31,19,31,0.00%,0.86753,0.19,0.33
调试取样器,10,0,0,0,0,1,0,1,0.00%,0.86934,0.89,0
总体,60,288,92,1060,1461,1829,0,1914,0.00%,4.41761,1.87,1.13
