Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
登录,10,360,355,380,380,419,333,419,0.000%,.28225,0.11,0.08
创建扫描任务,10,2647,1587,6319,6319,6709,178,6709,0.000%,.27736,0.06,0.00
开始扫描任务,10,180,171,219,219,255,151,255,0.000%,.29379,0.07,0.13
扫描任务事务,10,2828,1741,6538,6538,6885,333,6885,0.000%,.27388,0.12,0.12
退出登录,10,95,93,123,123,125,63,125,0.000%,.29416,0.06,0.11
调试取样器,10,0,0,0,0,0,0,0,0.000%,.29526,0.30,0.00
总体,60,1018,219,3464,6319,6709,0,6885,0.000%,1.61664,0.68,0.41
