Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
登录,10,418,345,479,37.02,0.000%,.20483,0.08,0.06,415.0
创建扫描任务,10,3869,205,8080,2877.35,0.000%,.20378,0.05,0.00,230.0
开始扫描任务,10,200,163,261,29.94,0.000%,.22996,0.05,0.10,230.0
扫描任务事务,10,4069,395,8284,2870.33,0.000%,.20182,0.09,0.09,460.0
退出登录,10,103,74,143,17.72,0.000%,.23045,0.05,0.09,222.0
调试取样器,10,0,0,1,0.30,0.000%,.23103,0.24,0.00,1042.5
总体,60,1443,0,8284,2441.96,0.000%,1.19462,0.51,0.30,433.2
