Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
登录,31600,6824,282,21050,3722.17,0.019%,8.78846,3.57,3.96,416.4
根据时间筛选获取任务列表,31600,517,91,1974,282.36,0.019%,8.81864,586.47,4.76,68099.1
获取某个扫描任务报告详情,31600,3319,15,13494,2046.73,0.019%,8.80065,13118.00,3.60,1526345.9
退出登录,31460,709,28,5400,415.96,0.019%,8.78137,1.90,3.34,222.0
调试取样器,31400,0,0,6,0.23,0.000%,8.81800,8.90,0.00,1033.6
总体,157660,2278,0,21050,3189.64,0.015%,43.73392,13663.02,15.60,319910.3
