Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
登录,31600,6824,6809,11879,12531,13523,282,21050,0.019%,8.78846,3.57,3.96
根据时间筛选获取任务列表,31600,517,498,897,999,1221,91,1974,0.019%,8.81864,586.47,4.76
获取某个扫描任务报告详情,31600,3319,3254,6020,6644,7865,15,13494,0.019%,8.80065,13118.00,3.60
退出登录,31460,709,725,1182,1249,1363,28,5400,0.019%,8.78137,1.90,3.34
调试取样器,31400,0,0,0,0,1,0,6,0.000%,8.81800,8.90,0.00
总体,157660,2278,783,7162,10006,12536,0,21050,0.015%,43.73392,13663.02,15.60
