Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
登录,200,407,254,1054,142.24,0.000%,.59700,0.24,0.17,416.0
创建扫描任务,200,697,32,2316,495.20,0.000%,.59636,0.14,0.00,231.9
开始扫描任务,200,220,77,1009,119.91,0.000%,.59697,0.14,0.26,232.0
扫描任务事务,200,917,125,2700,536.92,0.000%,.59559,0.27,0.26,463.9
退出登录,200,30,16,390,28.25,0.000%,.59721,0.13,0.23,222.0
调试取样器,200,0,0,1,0.27,0.000%,.59726,0.63,0.00,1087.5
总体,1200,378,0,2700,456.61,0.000%,3.56695,1.54,0.92,442.2
