Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
登录,200,407,343,565,635,956,254,1054,0.000%,.59700,0.24,0.17
创建扫描任务,200,697,635,1306,1673,2135,32,2316,0.000%,.59636,0.14,0.00
开始扫描任务,200,220,193,342,410,724,77,1009,0.000%,.59697,0.14,0.26
扫描任务事务,200,917,868,1532,1974,2647,125,2700,0.000%,.59559,0.27,0.26
退出登录,200,30,27,39,50,96,16,390,0.000%,.59721,0.13,0.23
调试取样器,200,0,0,0,1,1,0,1,0.000%,.59726,0.63,0.00
总体,1200,378,236,1040,1294,2016,0,2700,0.000%,3.56695,1.54,0.92
