Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
登录,42500,3865,236,9929,2022.02,0.000%,11.80520,4.80,5.33,416.0
根据时间筛选获取任务列表,42486,341,26,2086,197.45,0.000%,11.83265,994.68,6.39,86080.0
退出登录,42400,285,16,892,167.25,0.000%,11.83804,2.57,4.51,222.0
调试取样器,42400,0,0,1,0.18,0.000%,11.83819,11.89,0.00,1028.5
总体,169786,1124,0,9929,1888.49,0.000%,47.15611,1011.11,16.19,21956.4
