Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
登录,42500,3865,3883,6582,6980,7668,236,9929,0.000%,11.80520,4.80,5.33
根据时间筛选获取任务列表,42486,341,325,604,673,832,26,2086,0.000%,11.83265,994.68,6.39
退出登录,42400,285,274,513,573,693,16,892,0.000%,11.83804,2.57,4.51
调试取样器,42400,0,0,0,0,1,0,1,0.000%,11.83819,11.89,0.00
总体,169786,1124,296,4564,5900,7087,0,9929,0.000%,47.15611,1011.11,16.19
