Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
登录,200,488,221,4953,632.86,0.000%,.15343,0.06,0.04,381.6
创建扫描任务,137,3942,167,25289,4826.17,0.000%,.11028,0.02,0.00,196.8
开始扫描任务,137,238,106,2468,416.69,0.000%,.11035,0.02,0.05,196.8
扫描任务事务,137,4180,289,25434,4807.79,0.000%,.11025,0.04,0.05,393.6
退出登录,137,110,70,2185,190.40,0.000%,.11036,0.02,0.04,188.0
调试取样器,137,0,0,1,0.38,0.000%,.11037,0.11,0.00,1056.1
总体,885,1421,0,25434,3234.39,0.000%,.67892,0.27,0.18,400.7
