Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
登录,106,676,610,1023,1198,1341,313,1631,0.000%,.33355,0.14,0.10
创建扫描任务,105,1563,1303,3291,4243,5951,41,6665,0.000%,.33236,0.08,0.00
开始扫描任务,105,394,351,588,804,1152,119,1186,70.476%,.33302,0.08,0.15
扫描任务事务,105,1958,1708,3846,4876,6484,198,7249,70.476%,.33182,0.15,0.14
退出登录,105,55,47,90,119,158,18,158,0.000%,.33309,0.07,0.13
调试取样器,105,0,0,0,1,1,0,4,0.000%,.33312,0.34,0.00
总体,631,774,389,2268,3112,5312,0,7249,23.455%,1.98556,0.85,0.51
