Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
登录,200,187,91,9678,677.93,0.000%,.92295,0.37,0.27,415.6
创建扫描任务,200,359,29,1788,265.18,0.000%,.92137,0.21,0.00,231.0
开始扫描任务,200,158,47,9670,681.15,0.000%,.92222,0.21,0.40,231.0
扫描任务事务,200,517,91,10447,768.74,0.000%,.92024,0.42,0.40,462.0
退出登录,200,43,19,415,63.95,0.000%,.92238,0.20,0.35,222.0
调试取样器,200,0,0,6,1.05,0.000%,.92249,0.95,0.00,1054.7
总体,1200,211,0,10447,544.76,0.000%,5.51744,2.35,1.42,436.0
