Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
登录,200,488,281,766,2206,2351,221,4953,0.000%,.15343,0.06,0.04
创建扫描任务,137,3942,2636,8528,13526,24630,167,25289,0.000%,.11028,0.02,0.00
开始扫描任务,137,238,137,208,411,2182,106,2468,0.000%,.11035,0.02,0.05
扫描任务事务,137,4180,2815,8651,13672,24786,289,25434,0.000%,.11025,0.04,0.05
退出登录,137,110,81,103,138,732,70,2185,0.000%,.11036,0.02,0.04
调试取样器,137,0,0,1,1,1,0,1,0.000%,.11037,0.11,0.00
总体,885,1421,239,4806,6651,17679,0,25434,0.000%,.67892,0.27,0.18
