Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
登录,106,676,313,1631,255.66,0.000%,.33355,0.14,0.10,416.0
创建扫描任务,105,1563,41,6665,1374.46,0.000%,.33236,0.08,0.00,232.0
开始扫描任务,105,394,119,1186,217.73,70.476%,.33302,0.08,0.15,240.5
扫描任务事务,105,1958,198,7249,1460.30,70.476%,.33182,0.15,0.14,472.4
退出登录,105,55,18,158,30.38,0.000%,.33309,0.07,0.13,222.0
调试取样器,105,0,0,4,0.47,0.000%,.33312,0.34,0.00,1051.3
总体,631,774,0,7249,1111.96,23.455%,1.98556,0.85,0.51,439.0
