Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
登录,200,187,121,173,269,547,91,9678,0.000%,.92295,0.37,0.27
创建扫描任务,200,359,328,597,819,1388,29,1788,0.000%,.92137,0.21,0.00
开始扫描任务,200,158,75,190,367,572,47,9670,0.000%,.92222,0.21,0.40
扫描任务事务,200,517,419,734,1081,1853,91,10447,0.000%,.92024,0.42,0.40
退出登录,200,43,27,43,160,372,19,415,0.000%,.92238,0.20,0.35
调试取样器,200,0,0,1,3,5,0,6,0.000%,.92249,0.95,0.00
总体,1200,211,103,519,627,1279,0,10447,0.000%,5.51744,2.35,1.42
