Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
登录,46000,6990,243,16203,3774.58,0.000%,12.78176,5.19,5.77,416.0
根据时间筛选获取任务列表,46000,553,28,4091,316.51,0.000%,12.82924,870.66,6.93,69494.0
退出登录,45800,576,17,3045,337.92,0.000%,12.82757,2.78,4.89,222.0
调试取样器,45800,0,0,2,0.18,0.000%,12.82771,12.89,0.00,1028.8
总体,183600,2034,0,16203,3448.09,0.000%,51.00099,887.92,17.51,17827.6
