Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
登录,46000,6990,7004,12116,12799,13963,243,16203,0.000%,12.78176,5.19,5.77
根据时间筛选获取任务列表,46000,553,530,990,1097,1272,28,4091,0.000%,12.82924,870.66,6.93
退出登录,45800,576,561,1039,1153,1332,17,3045,0.000%,12.82757,2.78,4.89
调试取样器,45800,0,0,0,0,1,0,2,0.000%,12.82771,12.89,0.00
总体,183600,2034,538,8291,10851,12978,0,16203,0.000%,51.00099,887.92,17.51
