Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
登录,22050,12529,5590,9800,11193,25055,234,1644594,0.00%,6.10084,2.48,2.75
根据时间筛选获取任务列表,21941,446,390,718,860,1475,26,15272,0.00%,6.09771,388.29,3.29
退出登录,21900,386,369,682,777,1179,20,1691,0.00%,6.12592,1.33,2.33
调试取样器,21900,0,0,0,0,1,0,18,0.00%,6.12597,6.15,0
总体,87791,3354,374,6679,8763,12104,0,1644594,0.00%,24.29018,396.45,8.34
