Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
登录,22050,12529,234,1644594,101832.14,0.000%,6.10084,2.48,2.75,416.0
根据时间筛选获取任务列表,21941,446,26,15272,690.03,0.000%,6.09771,388.29,3.29,65206.2
退出登录,21900,386,20,1691,241.42,0.000%,6.12592,1.33,2.33,222.0
调试取样器,21900,0,0,18,0.23,0.000%,6.12597,6.15,0.00,1028.4
总体,87791,3354,0,1644594,51311.95,0.000%,24.29018,396.45,8.34,16712.9
