Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
登录,3520,8261,276,22800,4650.64,0.000%,11.67709,4.74,5.16,416.0
根据时间筛选获取任务列表,3483,987,12,3631,703.35,8.671%,12.13280,863.87,6.55,72909.8
退出登录,3300,715,16,1964,438.68,8.636%,12.25176,2.69,4.67,224.4
调试取样器,3300,0,0,1,0.20,0.000%,12.25354,11.74,0.00,981.4
总体,13603,2564,0,22800,4150.99,4.315%,44.96057,837.23,15.51,19068.5
