Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
登录,3520,8261,8151,14242,15199,20482,276,22800,0.000%,11.67709,4.74,5.16
根据时间筛选获取任务列表,3483,987,900,1751,2469,3332,12,3631,8.671%,12.13280,863.87,6.55
退出登录,3300,715,691,1314,1458,1816,16,1964,8.636%,12.25176,2.69,4.67
调试取样器,3300,0,0,0,0,1,0,1,0.000%,12.25354,11.74,0.00
总体,13603,2564,786,9870,12793,15571,0,22800,4.315%,44.96057,837.23,15.51
