Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
登录,3600,11126,11058,19689,20983,22390,285,23647,0.000%,11.89053,4.83,5.22
根据时间筛选获取任务列表,3549,1091,894,1863,3675,4684,19,5046,33.474%,12.49063,648.64,6.75
退出登录,3300,782,731,1491,1599,1783,19,1930,33.000%,12.78213,2.89,4.87
调试取样器,3300,0,0,0,0,1,0,2,0.000%,12.78346,12.09,0.00
总体,13749,3382,831,13608,17700,21369,0,23647,16.561%,45.20348,623.46,15.63
