Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
登录,3600,11126,285,23647,6239.08,0.000%,11.89053,4.83,5.22,416.0
根据时间筛选获取任务列表,3549,1091,19,5046,986.87,33.474%,12.49063,648.64,6.75,53176.6
退出登录,3300,782,19,1930,493.47,33.000%,12.78213,2.89,4.87,231.2
调试取样器,3300,0,0,2,0.20,0.000%,12.78346,12.09,0.00,968.6
总体,13749,3382,0,23647,5650.25,16.561%,45.20348,623.46,15.63,14123.3
