Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
登录,45750,5313,236,12511,2837.80,0.000%,12.68615,5.15,5.73,416.0
根据时间筛选获取任务列表,45635,464,24,7436,325.92,0.000%,12.69461,1020.91,6.86,82351.0
退出登录,45600,401,19,1366,236.96,0.000%,12.72352,2.76,4.85,222.0
调试取样器,45600,0,0,19,0.22,0.000%,12.72366,12.78,0.00,1028.8
总体,182585,1547,0,12511,2613.61,0.000%,50.62851,1038.25,17.38,20999.3
