Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
登录,45750,5313,5326,9169,9687,10456,236,12511,0.000%,12.68615,5.15,5.73
根据时间筛选获取任务列表,45635,464,441,817,907,1115,24,7436,0.000%,12.69461,1020.91,6.86
退出登录,45600,401,388,721,799,967,19,1366,0.000%,12.72352,2.76,4.85
调试取样器,45600,0,0,0,0,1,0,19,0.000%,12.72366,12.78,0.00
总体,182585,1547,408,6307,8216,9818,0,12511,0.000%,50.62851,1038.25,17.38
