Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
登录,46300,3616,234,9171,1922.87,0.00%,12.84923,5.22,5.81,416
根据时间筛选获取任务列表,46235,261,23,4390,177.32,0.00%,12.85717,806.13,6.94,64203.3
退出登录,46200,237,16,730,133.6,0.00%,12.8741,2.79,4.9,222
调试取样器,46200,0,0,10,0.18,0.00%,12.87419,12.93,0,1028.5
总体,184935,1030,0,9171,1784.04,0.00%,51.32219,825.36,17.62,16467.8
