Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
登录,3570,7753,7744,13484,14304,16331,242,18938,0.000%,11.97782,4.87,5.30
根据时间筛选获取任务列表,3570,774,766,1386,1521,1733,10,1863,4.090%,12.50525,934.89,6.75
退出登录,3502,638,611,1191,1290,1452,14,1586,4.340%,12.29354,2.68,4.68
调试取样器,3360,0,0,0,0,1,0,1,0.000%,12.48314,11.99,0.00
总体,14002,2333,682,9248,12056,14541,0,18938,2.128%,46.58699,906.10,16.11
