Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
登录,3570,7753,242,18938,4262.27,0.000%,11.97782,4.87,5.30,416.0
根据时间筛选获取任务列表,3570,774,10,1863,452.71,4.090%,12.50525,934.89,6.75,76554.4
退出登录,3502,638,14,1586,385.67,4.340%,12.29354,2.68,4.68,223.2
调试取样器,3360,0,0,1,0.18,0.000%,12.48314,11.99,0.00,983.6
总体,14002,2333,0,18938,3854.33,2.128%,46.58699,906.10,16.11,19916.5
