Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
登录,200,615,569,905,1185,1475,319,1963,0.00%,0.38347,0.16,0.11
创建扫描任务,200,1284,990,2302,4206,6147,45,8775,0.50%,0.38326,0.1,0
开始扫描任务,200,337,287,619,749,972,100,1174,0.00%,0.38402,0.09,0.17
扫描任务事务,200,1622,1261,2946,4791,7234,203,9949,0.50%,0.38292,0.18,0.17
退出登录,200,47,36,69,101,205,18,462,0.00%,0.38413,0.08,0.15
调试取样器,200,0,0,1,1,2,0,5,0.00%,0.3842,0.39,0
总体,1200,651,344,1600,2217,5049,0,9949,0.17%,2.2945,1,0.59
