Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
登录,200,615,319,1963,257.01,0.000%,.38347,0.16,0.11,416.0
创建扫描任务,200,1284,45,8775,1331.47,0.500%,.38326,0.10,0.00,262.6
开始扫描任务,200,337,100,1174,197.04,0.000%,.38402,0.09,0.17,232.1
扫描任务事务,200,1622,203,9949,1448.16,0.500%,.38292,0.18,0.17,494.7
退出登录,200,47,18,462,44.30,0.000%,.38413,0.08,0.15,222.0
调试取样器,200,0,0,5,0.61,0.000%,.38420,0.39,0.00,1051.5
总体,1200,651,0,9949,1017.27,0.167%,2.29450,1.00,0.59,446.5
