Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
登录,295,479,528,574,588,607,264,619,0.000%,.86940,0.35,0.35
根据时间筛选获取任务列表,195,48,47,63,69,85,24,116,0.000%,.65363,36.68,0.35
退出登录,195,37,35,47,52,76,20,103,0.000%,.65374,0.14,0.25
调试取样器,195,0,0,1,1,1,0,1,0.000%,.65383,0.66,0.00
总体,880,180,45,554,569,598,0,619,0.000%,2.59347,33.30,0.87
